unique_id,aggregated_abilities,program,latest_location,experience_years,firm_list,aggregated_skill
19960_Oracle Database Administrator/Architect Oracle Database Administrator/Architect Lead Oracle Database Administrator/Architect - Fannie Mae,"['Oracle Database Administration', 'Database Architect', 'Application development life cycle methodologies', 'Database and Application performance tuning', 'Implementing High Availability options', 'Oracle 10g RAC and Advanced Replication', 'Shell scripting', 'Capacity Planning', 'Space Management', 'Security Management', 'Auditing', 'Memory and Performance Tuning', 'RMAN backup and recovery', 'Database migration', 'Sybase database support', 'Oracle Workbench migration', 'Oracle Applications DBA', 'PeopleSoft DBA', 'SAP-Oracle DBA']",Bachelor of Computer Science,Dubai,31.89048596851472,"['Fannie Mae', 'John Deere & Company & ELM Resources', 'Agilent Technologies', 'JPMorgan Chase Group', 'Nortel Networks & CSC', 'KPMG PeatMarwick', 'John Deere & Co', 'Hewlett Packard', 'National Bank of Dubai', 'Terrazzo LLC', 'Bokaro Thermal Plant', 'AICAM Engineering Ltd']","['Oracle 11g/10g/9i/8i Database Administration', 'Database Architect with OLTP and Data Warehouse systems', 'Application development life cycle methodologies', 'Database and Application performance tuning', 'Implementing High Availability options using Data Guard with Zero Data Loss', 'Oracle 10g RAC and Advanced Replication in OLTP environment', 'Implementation of oracle 10g and its new features', 'Coordinating with Application, Development and QA teams during production deployments', 'Working & Co-coordinating with the onsite & offshore teams', 'Configuring and implementing 10G RAC with ASM disk on Linux and Windows servers', 'Setting up HA Data guard with Zero data loss (Maximum Availability) and standby databases', 'Working on Enterprise data warehouse and data marts', 'Configuring and Setting up disaster recovery site', 'Worked on Oracle Streams data replication including schema and tables replication', 'Setting up and maintaining data warehouse databases including writing ETL scripts to take data from mainframe DB2 warehouse systems to Oracle', 'Performing several RDBMS upgrades from 8i to 9i, 9i to 10g and 10g to 11g', 'Refreshing development and QA environment with production databases', 'Involved in the installation, maintenance and troubleshoot of databases OEM with grid control', 'Troubleshooting database performance with AWR/ADDM analysis and 24/7 support of databases', 'Worked on AIX 5.2, Solaris 10 (SunOS 5.10), HP UNIX 11, etc.', 'Worked on SAP-Oracle databases including taking backups, cloning and monitoring, worked on SAP OSS notes for issues and bugs related information, worked on SAP change transport, worked on SAPDBA utility, BR Tools, etc.', 'Database and necessary os monitoring by using BMC and OEM packages', 'Worked on power designer 10 & 11 for data modeling and reverse engineering', 'Refreshing/Cloning Instances', 'Patch Application', 'Working on third party tools such as Veritas Cluster Manager, Kintana, etc.', 'Responsible for Analyzing the need for applying the patches to the Applications database', 'Applying the patch to test instances and performs Rigorous Testing and subsequently applying to the Production Instance', 'Maintaining TARs using the Oracle Metalink for key Issues related to Applications', 'Performance tuning', 'Cloning of the instances (Test/Development/QA/Staging)', 'Creating application users and assigning responsibilities based on functionality', 'Monitoring the users, concurrent managers, setting profile options, identifying and resolving user issues', 'Responsible for documenting the process for reference', 'Daily Activities (Monitoring OS File system usage, Concurrent Managers, alert logs, Concurrent Managers logs, Tablespace usage, tns, Web, Forms and Reports Services)', 'Interaction with Oracle Developers to assist them in troubleshooting their problems related to Oracle Applications and Oracle Databases', 'Worked on Traditional and RMAN backup & recovery procedures and worked on setting up standby databases', 'Space management', 'RMAN backups', 'Pager support', 'Working on problem tickets including Shell scripting', 'Using AD utilities extensively like ADPATCH, ADADMIN, ADMERGE, and ADCTRL etc.', 'Coordinating with the offshore to get the work done', 'Installation and Upgrades on Sybase 11.x & 12.x and Oracle 8.x and 9.x Databases', 'Designing and executing the Event Center project which helps to have one-on-one meeting and group conference through the web', 'Working on Backup and Recovery Solution and Tuning Issues on Oracle and Sybase Databases, also configuration of Veritas Netbackup', 'Capacity Planning and Space Management, Security Management, Auditing, Memory and Performance Tuning', 'Supported 24X7 availability of DBA support Oracle-Siebel (CRM) and e-commerce databases on Oracle & Sybase Databases in various units of JPMorgan Chase DataCenters and effectively handled the disaster Recovery using BMC sql backtrack', 'Major designing of Online Investment Banking projects on Sybase which is also scalable on Oracle Database', 'Proactive Planning for Database Maintenance Activities', ""Delivering Application Group's expectations within deadlines"", 'Proactive Database Support throughout Application Development Life Cycles', 'Database upgrade and Migration, Conversion from File Maker Pro to Sybase and Sybase server to Oracle', 'Worked on 2 eCommerce project Migration from Sybase 11.9.2 & 12.0.0.3 to Oracle 8.1.7.2.1', 'Worked on Oracle Migration Workbench 2.0.2.0.0 and CAST third party tool for checking errors and functionality in the front end code which uses Sybase & Oracle Databases', 'Worked extensively on Database and Application / Procedure Migration from Sybase to Oracle databases and merged multiple Sybase databases to one oracle database while migration including Shell scripting', 'Worked extensively on Sybase EAServer, BEA Weblogic 5.x, Securant servers, etc.', 'Installation and configuration of Oracle version 8i on Solaris 2.6', 'Configuring and Setting up Replication and Standby Databases to guard against failure', 'Supporting and Troubleshooting ODBC, JDBC, SQL*Net and Network related stuff', 'Creation of databases and support for critical Database systems', 'Extensively worked on Database Migration from Oracle 7.x to 8.x', 'Creating Logical Volumes and managing raw volumes across the EMC disk', 'Maintained 5 Sybase Databases with size of 20GB', 'Extensively worked on architecting the system and laying out the file systems according to the hot spots and extensively worked on EMC BCV backups', 'Extensively worked on RMAN for Backup and Recovery scenarios', 'Administration of Oracle names Server and was involved in maintenance of sql*net and client configuration', 'Application Migration from Open VMS to Sun Solaris on E10K with EMC Disk Arrays', 'Database Monitoring: - Expert with HP OpenView, Oracle Enterprise Manager and SQL Navigator. Implemented failure detection and automatic troubleshooting using OEM and HP OpenView for Production databases', 'Extensive Knowledge of setting up Webservers, BroadVision and Weblogic apps. Servers', 'Designing the database, Sizing tables and indexes for proper storage mgmt for e-commerce application using Designer 2000', 'Extensively worked on GDIW (Global Data Information Warehouse) systems which are a global data warehouse database, which gets data from 50 system houses', 'Supports 24X7 availability of DBA support and size of the database is 650GB plus on 9 SAP servers and 40+ Non-SAP Oracle databases of varying size from 50GB to 250GB, in various units of Nortel DataCenters and effectively handled the disaster Recovery', 'Coordinating and scheduling changes to database based on requirements', 'Extensive experience on Veritas Netbackup Administration including Shell scripting', 'Installation and configuration of Oracle ver. 7.x/8.x/8i on Solaris 2.5/2.6', 'Configuring and Setting up Replication and Standby Databases to guard against failure', 'Supporting and Troubleshooting ODBC, JDBC, SQL*Net and Network related stuff', 'Creation of databases and support for critical Database systems', 'Installation and configuration of OEM 2.0.4, SQL Navigator and RMAN. Planning database backup and disaster recovery strategy. Responsible for Backup & Recovery using OEBU 2.2 for Oracle 7 Database and RMAN for Oracle 8 Databases with Veritas Netbackup 3.1.1', 'Administration of Oracle names Server and was involved in maintenance of sql*net and client configuration', 'Supported 24X7 availability of DBA support and size of the database is 150GB on 3 PeopleSoft servers and 40+ Non-PeopleSoft Oracle databases of varying size from 2GB to 10GB, and effectively handled the disaster Recovery', 'Database Monitoring: - Familiar with BMC Patrol, Oracle Enterprise Manager and SQL Navigator. Implemented failure detection and automatic troubleshooting using BMC Patrol for Production databases including Shell/AWK scripting', 'Designing the database, Sizing tables and indexes for proper storage mgmt. Using Designer 2000 and ERWIN Tools', 'Coordinating and scheduling changes to database based on requirements', 'Worked on Custom and Packaged Application and followed all the standards of the proprietary s/w and duties include Package system work plan development, Package implementation staffing requirements, Capacity planning, Design for performance, scalability and reliability, Business process knowledge, Product specific knowledge (product specific knowledge is expected to be temporal)', 'Worked on Remedy Package and Team Track Package and leveraged the package according to the Customer needs']"
11490_Cyber Surety Journeyman,"['Cyber security', 'System administration', 'Customer service', 'Vulnerability management', 'DISA STIG implementation', 'NIST RMF', 'IT security administration', 'Packet analysis', 'Network monitoring', 'Incident response', 'Threat research', 'Cyber threat advisories', 'Helpdesk support', 'Active Directory', 'Group Policy', 'Windows Server', 'Windows client', 'User provisioning', 'Server provisioning', 'Hardware upgrades', 'User training', 'Vulnerability mitigation', 'Standard operating procedures']",Masters of Science,"Tampa, FL",0.0,"['USAF', 'Bylight IT Professionals', 'Bylight IT Professionals', 'United States Air Force']","['Vulnerability Management', 'Nessus Security Center (ACAS)', 'DISA STIGs', 'NIST RMF', 'DISA Security Technical Implementation Guides', 'IT Security Administration', 'Wireshark', 'Packet Analysis', 'Network Monitoring', 'ArcSight ESM', 'ArcSight Logger', 'Bluecoat', 'McAfee HBSS', 'Splunk', 'Microsoft ATA', 'McAfee ATD', 'Fortigate Firewall', 'Incident Response', 'Threat Research', 'Cyber Threat Advisories', 'Helpdesk Support', 'Remedy', 'Active Directory', 'Group Policy', 'Windows Server 2012r2/2016', 'Windows 7/10', 'User Provisioning', 'Server Provisioning', 'Windows Server 2012R2', 'Windows Server 2008R2', 'Windows 7/10', 'Hardware Upgrades', 'User Training', 'Vulnerability Mitigation', 'DISA STIGs', 'Nessus', 'Standard Operating Procedures']"
18742_Scott Township,"['database design', 'PL/SQL', 'performance tuning', 'data analysis', 'programming', 'requirements gathering', 'troubleshooting', 'production support', 'post-production management/maintenance', 'reporting', 'testing', 'quality assurance', 'team player', 'passion for success', 'professional and personal improvement', 'experience and education']",Bachelor of Science in Mathematics in Education,"Lehman, PA",0.0,"['United States Postal Service', 'Jenkins Township, PA', 'TMG Health - Jessup, PA', 'Lake-Lehman High School - Lehman, PA']","['Oracle databases', 'PL/SQL', 'database design', 'data analysis', 'programming', 'requirements gathering', 'troubleshooting', 'production support', 'post-production management/maintenance', 'reporting', 'testing', 'quality assurance', 'Oracle SQL Queries', 'ad-Hoc reporting', 'VBA', 'SQL Server database', 'Microsoft Access', 'reporting', 'data analysis', 'business requirements', 'process improvement', 'Drools Expert', 'mathematics curriculum', 'Geometry', 'Algebra', 'Remedial Algebra', 'Precalculus', 'Calculus', 'Promethean Boards', 'Mathematica', 'GeoGebra', 'Khan Academy', 'tablet apps']"
51688_Michael Owuor,"['Active Directory and Windows Server Administration', 'Cisco Network Device installation and configuration', 'PC and Macs break fix problem resolution', 'Service Desk management', 'Technical support', 'Network engineering']",Master of Business Administration in Network and Communication Systems Management,"Newark, DE",14.652977412731005,"['Highpoint Solutions LLC', 'Highpoint Solutions LLC', 'BoxTechs, LLC', 'Sicom Systems', 'WebMax, LLC', 'Comcast Corporation', 'Dialnet Communications Systems Ltd']","['Active Directory', 'Windows Server Administration', 'Cisco Network Device installation and configuration', 'PC and Macs break fix problem resolution', 'Active Directory Administration', 'Office 365 Administration', 'Single Sign On administrations via the OKTA platform', 'PC and Mac applications installation and troubleshooting', 'Active Directory administration', 'Microsoft Exchange administration', 'Office 365 administration', 'Hardware provisioning', 'Network devices installation and configuration', 'Point of sale system diagnostics and troubleshooting', 'Help desk ticket documentation', 'PC, laptop and peripherals repair and maintenance', 'Home and small office network design and implementation', 'Software installation and upgrades', 'Virus detection and removal', 'Mobile device repair and upgrading', 'Cable, phone and internet technical support', 'Diagnostics and troubleshooting', 'Help desk ticket documentation', 'Cisco network hardware installation and configuration', 'PC hardware repair and replacement', 'Network connectivity troubleshooting', 'End user technical support', 'Network and server security implementation']"
3271_Sylvia Castro,"['Front End Developer', 'Web Development', 'Project Management', 'Customer Service', 'Logistics Management']",Bachelor of Science in Computer Information Systems in Web Development and Administration,"Chicago, IL",0.0,"['Americaneagle.com', 'Cambridge Business Publishers', 'C.H. Robinson Worldwide, Inc']","['HTML', 'ASP.NET', 'Moodle', 'HTML', 'CSS', 'Customer Service', 'Logistics Management']"
22459_Sr. UX Designer / UI Developer,"['Concept design', 'Prototyping', 'User interface design', 'Interface design', 'Information architecture', 'Visual design', 'Architecture', 'User interface', 'Ui', 'Html', 'Javascript', 'Ux', 'Css', 'jquery']",,"Palo Alto, CA",18.89664613278576,"['Cisco', 'Yuzu', 'YP Holdings LLC', 'NexTag', 'SolutionSet LLC', 'Freelancer']","['Design direction', 'New features and services implementation', 'Web platform prototyping', 'Sketch', 'Bootstrap', 'HTML5', 'CSS3', 'Angular JS', 'Rest', 'Github', 'Jira', 'Atom', 'Android platform app designing', 'Android developing process managing', 'iOS, Web, Windows platform apps UX supporting', 'Usability Research team at User Study sessions', 'Web, mobile platforms prototyping', 'Web, Mobile Web, Apps (iPhone/Android/iPad/Windows/Blackberry) designing', 'Ad solutions design', 'Mobile Apps (Web/Native) front-end developing', 'A/B testing interfaces designing', 'Microsites designing', 'Interaction flows prototyping', 'Designed and developed mock-ups, wireframes, storyboards, style guides, website UIs, flash animations, banners, corporate styles and logotypes', 'Designing mobile device software (for iPhones)', 'Website design, HTML/CSS/JavaScript pages developing, graphics optimization, PHP templates setting, Flash animations and AS2/3 XML driven application, web and print presentations, usability/accessibility/browser compatibility testing', 'Website design, html templates, optimized graphics, usability/accessibility/browser compatibility testing, developed pages in hand-coded html', 'Design, development and maintenance of web sites', 'Photoshop to improve/create images and background to deliver faster web pages to the user']"
10242_Security Control Assessor,"['Security', 'COBIT', 'Information security', 'ITIL', 'Nessus', 'NIST', 'FISMA', 'Document management', 'Configuration management', 'Document management systems', 'Assurance analyst', 'Information assurance', 'Content management', 'Documentation', 'Auditing', 'ECMS', 'Internal controls', 'Best practices', 'Scanning']",B.Sc. in Information Security,MD,19.40041067761807,"['TECH CONSULTING LLC', 'NCR', 'OKINYX IT', 'Midland Financial Services', 'NAMA', 'NAMA', 'NAMA']","['Security', 'NIST 800-37', 'NIST 800-53', 'FIPS 199', 'FIPS 200', 'OMB A-130', 'FedRAMP', 'NIST 800-34', 'Contingency Planning', 'POA&M', 'Continuous Monitoring', 'NIST SP 800-53A', 'Nessus', 'NIST SP 800-60', 'NIST SP 800-53', 'FIPS 199', 'Risk Management Framework', 'Certification and Accreditation', 'NIST 800-37', 'NIST 800-53', 'FIPS 199', 'FIPS 200', 'OMB A-130', 'FISMA', 'CSAM', 'FIPS 199', 'PTA', 'E-Authentication', 'Contingency Plan', 'Security Test & Evaluation', 'Security Assessment Plan', 'Security Assessment Report', 'Standard Operating Procedures', 'NIST 800-37', 'NIST 800-53', 'FIPS 199', 'FIPS 200', 'OMB A-130', 'FISMA', 'NIST SP 800-18', 'NIST SP 800-30', 'NIST SP 800-37', 'NIST SP 800-53', 'NIST SP 800-53A', 'NIST SP 800-60', 'Retina Network Security Scanner', 'Nessus', 'NIST SP 800-37', 'NIST SP 800-18', 'NIST SP 800-53', 'NIST SP 800-34', 'Risk Assessment', 'System Security Plan', 'POA&M', 'Configuration Management Plan', 'Contingency Plan', 'Incident Response Plan', 'Network Administration', 'Hardware Support', 'Software Installation', 'Data Backup', 'Disaster Recovery', 'Change Management', 'Technical Support', 'Hardware Troubleshooting', 'Software Troubleshooting', 'Network Connectivity', 'Active Directory', 'Accounting', 'Auditing', 'Internal Controls', 'Compliance']"
